,Saddle height,Stack,CS textfield
4658,0.44634992,0.4110677,0.2025
3911,0.43166736,0.4110677,0.205
4436,0.44811183,0.4633808,0.2175
253,0.44634992,0.4110677,0.225
9,0.42168322,0.4110677,0.225
752,0.22317496,0.4110677,0.19
4256,0.48158807,0.4024329,0.195
4218,0.45809597,0.4110677,0.22
3184,0.14682563,0.4110677,0.1625
3730,0.45222294,0.41510147,0.225
2910,0.44928643,0.4110677,0.1825
3962,0.43460387,0.40438673,0.2025
4164,0.29071474,0.37930164,0.18
2836,0.42168322,0.44598514,0.22
4249,0.42168322,0.4423295,0.2125
3567,0.44928643,0.3780411,0.19237
1698,0.44634992,0.4110677,0.2225
2652,0.42168322,0.4110677,0.199545
1656,0.14682563,0.4110677,0.181
301,0.4422388,0.4110677,0.225
650,0.29365125,0.4110677,0.1965
3071,0.41111177,0.4110677,0.20596813
1783,0.4874611,0.4110677,0.1875
3223,0.41404828,0.4110677,0.2
3030,0.42285782,0.35364932,0.18883
4050,0.42168322,0.40501702,0.25
2839,0.42873085,0.4110677,0.22
2612,0.42520702,0.4110677,0.19729
3208,0.38879427,0.42392537,0.215
1067,0.42168322,0.4110677,0.21
1642,0.42168322,0.4110677,0.2075
2100,0.38350853,0.4110677,0.20972
4522,0.23492101,0.3753309,0.25
2625,0.42168322,0.4110677,0.19274
1268,0.2819052,0.4110677,0.19
2939,0.42168322,0.4110677,0.2025
1583,0.463969,0.4110677,0.194
4407,0.41111177,0.4110677,0.2125
1303,0.46103248,0.4110677,0.22
881,0.17031772,0.4110677,0.1475
4682,0.463969,0.4110677,0.21
3361,0.41463557,0.43274927,0.242105
1013,0.3964292,0.4110677,0.215
4672,0.43166736,0.43905208,0.225
4566,0.4721912,0.41724443,0.196
675,0.18206379,0.4110677,0.155
1149,0.3523815,0.4110677,0.2025
3379,0.42168322,0.38547838,0.198835
605,0.3083338,0.4110677,0.1875
2827,0.4434134,0.40419766,0.195
3134,0.42168322,0.41844195,0.205
3804,0.43225464,0.4110677,0.2125
4538,0.1850003,0.38736922,0.1825
1210,0.4669055,0.4110677,0.1975
4172,0.355318,0.4110677,0.194
4600,0.41111177,0.43092147,0.215
3820,0.3523815,0.35446867,0.2015
4105,0.41111177,0.3658767,0.1905
2343,0.42403242,0.45354846,0.2175
1461,0.4616198,0.4110677,0.19645
1336,0.42168322,0.4110677,0.21
2764,0.26428613,0.42392537,0.215
159,0.4874611,0.4110677,0.2025
308,0.32301638,0.4110677,0.20713
433,0.4616198,0.4110677,0.215
1988,0.39936572,0.4110677,0.2045
1842,0.4404769,0.4110677,0.184885
2451,0.41111177,0.382327,0.2265
4144,0.3987784,0.40753815,0.2125
3822,0.46338168,0.4110677,0.2025
1285,0.42168322,0.4110677,0.2
4031,0.31127033,0.4176226,0.20765
1903,0.18206379,0.4110677,0.17145
312,0.42168322,0.4110677,0.19
4065,0.4404769,0.35648558,0.195
2821,0.4434134,0.3697214,0.2025
3025,0.42873085,0.4110677,0.2025
4785,0.43049276,0.44882137,0.215
390,0.48452458,0.4110677,0.22
3092,0.44634992,0.4110677,0.2
1855,0.44106418,0.4110677,0.21
2503,0.43460387,0.41610992,0.2325
1167,0.42873085,0.4110677,0.1878
2793,0.38174665,0.4110677,0.229055
2429,0.42873085,0.4110677,0.2275
4686,0.4199213,0.4110677,0.204
714,0.45809597,0.4110677,0.20353
488,0.42168322,0.4110677,0.215
4147,0.4404769,0.40873566,0.22
385,0.38761967,0.4110677,0.2125
4674,0.47571504,0.46249843,0.2375
4346,0.463969,0.4110677,0.2125
2497,0.38761967,0.3719904,0.2175
2706,0.42168322,0.4201437,0.175
1504,0.26428613,0.4110677,0.2055
1555,0.47571504,0.4110677,0.2025
4459,0.19380984,0.4110677,0.175
2918,0.39936572,0.4110677,0.2025
2731,0.41169906,0.4110677,0.2109
4178,0.42285782,0.39398715,0.19036
1281,0.37881014,0.4110677,0.2
4777,0.44634992,0.42732888,0.21
4644,0.463969,0.46911636,0.218
3046,0.48452458,0.4110677,0.205
4240,0.47735947,0.46747762,0.2125
106,0.355318,0.4110677,0.2
4512,0.4199213,0.4674146,0.225
3721,0.40523875,0.43274927,0.2175
3413,0.38174665,0.41951343,0.21
4678,0.45222294,0.44415733,0.2125
1662,0.38174665,0.4110677,0.21
4613,0.45633405,0.42657253,0.2085
2144,0.44752452,0.4110677,0.19975
4283,0.45222294,0.44472456,0.225
4649,0.47865155,0.4106265,0.205
1427,0.24079403,0.4110677,0.2
1053,0.45809597,0.4110677,0.195
2915,0.40230224,0.4110677,0.1975
4783,0.47571504,0.45796043,0.215
2512,0.38174665,0.4110677,0.19525
835,0.46984202,0.4110677,0.23365
4606,0.4669055,0.40438673,0.2025
3381,0.4169848,0.4110677,0.19
1776,0.3042227,0.4110677,0.2025
2310,0.42168322,0.4110677,0.195
1908,0.3700006,0.4110677,0.435
1272,0.45457214,0.4110677,0.19
377,0.24960357,0.4110677,0.195
849,0.46984202,0.4110677,0.23071
3571,0.43754038,0.40186563,0.2025
3993,0.45515946,0.4110677,0.2075
3303,0.44517532,0.4110677,0.2375
1349,0.46749282,0.4110677,0.2125
1280,0.39114347,0.4110677,0.21
4087,0.41404828,0.37930164,0.245
1859,0.42168322,0.4110677,0.2025
3470,0.40171492,0.40797934,0.218425
3228,0.4933341,0.4235472,0.20015
997,0.24079403,0.4110677,0.233545
2892,0.4434134,0.43419892,0.219
1370,0.40523875,0.4110677,0.2125
4006,0.4169848,0.4201437,0.2075
4278,0.3905562,0.4110677,0.2315
2710,0.4727198,0.42833734,0.203
2051,0.4404769,0.4110677,0.22
3873,0.45927057,0.42455566,0.225
4719,0.4903976,0.44768688,0.21
1027,0.42168322,0.4110677,0.2
122,0.47571504,0.4110677,0.205
4036,0.4669055,0.43791756,0.2325
4061,0.41757208,0.39493257,0.1945
1422,0.46749282,0.4110677,0.23
4547,0.3018735,0.4110677,0.229405
4515,0.42168322,0.34829193,0.2095
2671,0.32301638,0.43274927,0.25
1872,0.46338168,0.4110677,0.206
3455,0.40230224,0.4110677,0.265
4684,0.41111177,0.4110677,0.19515
3551,0.36412758,0.37552,0.155
2842,0.23492101,0.4110677,0.1865
